pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_masse,pl_dens,st_age,sy_dist
"GJ 433 b","GJ 433",1,3,0,0,"Radial Velocity",2011,"La Silla Observatory",7.37090000,,,,,9.0645600
"HIP 5158 b","HIP 5158",1,2,0,0,"Radial Velocity",2009,"La Silla Observatory",345.63000000,,,,,51.6026000
"alf Ari b","alf Ari",1,1,0,0,"Radial Velocity",2010,"Bohyunsan Optical Astronomical Observatory",380.80000000,,,,,20.2101900
"tau Gem b","tau Gem",1,1,0,0,"Radial Velocity",2013,"Lick Observatory",305.00000000,,,,,112.5370000
"HD 62509 b","HD 62509",1,1,0,0,"Radial Velocity",2006,"Multiple Observatories",589.70000000,,,,,
"Kepler-370 c","Kepler-370",1,2,0,0,"Transit",2014,"Kepler",19.02293000,1.910,,,,1167.9400000
"Kepler-400 b","Kepler-400",1,2,0,0,"Transit",2014,"Kepler",9.02438900,1.650,,,,845.9700000
"Kepler-221 b","Kepler-221",1,4,0,0,"Transit",2014,"Kepler",2.79590600,1.710,,,,385.2310000
"Kepler-367 c","Kepler-367",1,2,0,0,"Transit",2014,"Kepler",53.57863700,1.200,,,,188.0270000
"Kepler-393 c","Kepler-393",1,2,0,0,"Transit",2014,"Kepler",14.61361200,1.330,,,,881.4040000
"Kepler-304 c","Kepler-304",1,4,0,0,"Transit",2014,"Kepler",5.31594600,2.170,,,,434.6840000
"Kepler-360 b","Kepler-360",1,2,0,0,"Transit",2014,"Kepler",3.28967200,1.650,,,,876.0440000
"Kepler-101 c","Kepler-101",1,2,0,0,"Transit",2014,"Kepler",6.02980900,1.330,,,,927.9810000
"Kepler-243 c","Kepler-243",1,2,0,0,"Transit",2014,"Kepler",20.02621800,1.990,,,,693.8600000
"Kepler-261 c","Kepler-261",1,2,0,0,"Transit",2014,"Kepler",24.57085800,2.000,,,,317.4990000
"Kepler-327 d","Kepler-327",1,3,0,0,"Transit",2014,"Kepler",13.96945700,1.730,,,,241.9870000
"Kepler-136 b","Kepler-136",2,2,0,0,"Transit",2014,"Kepler",11.57890000,2.050,,,,420.8180000
"Kepler-122 d","Kepler-122",1,5,0,0,"Transit",2014,"Kepler",21.58747500,2.200,,,,1027.4500000
"Kepler-157 c","Kepler-157",1,3,0,0,"Transit",2014,"Kepler",13.54050000,2.240,,,,773.7130000
"Kepler-147 c","Kepler-147",1,2,0,0,"Transit",2014,"Kepler",33.41642300,2.430,,,,1042.0200000
"Kepler-239 b","Kepler-239",1,2,0,0,"Transit",2014,"Kepler",11.76305100,2.330,,,,648.1090000
"Kepler-200 b","Kepler-200",1,2,0,0,"Transit",2014,"Kepler",8.59480500,2.130,,,,665.9120000
"Kepler-243 b","Kepler-243",1,2,0,0,"Transit",2014,"Kepler",5.71544200,2.450,,,,693.8600000
"Kepler-160 c","Kepler-160",1,3,0,0,"Transit",2014,"Kepler",13.69908700,3.610,,,,937.0130000
"Kepler-254 b","Kepler-254",1,3,0,0,"Transit",2014,"Kepler",5.82666200,3.870,,,,1389.4800000
"Kepler-172 c","Kepler-172",1,4,0,0,"Transit",2014,"Kepler",6.38899600,2.860,,,,828.5920000
"Kepler-299 c","Kepler-299",1,4,0,0,"Transit",2014,"Kepler",6.88587500,2.650,,,,1052.2400000
"Kepler-278 c","Kepler-278",1,2,0,0,"Transit",2014,"Kepler",51.07877500,3.590,,,,443.0300000
"Kepler-339 d","Kepler-339",1,3,0,0,"Transit",2014,"Kepler",10.55834500,1.170,,,,616.6370000
"Kepler-397 b","Kepler-397",1,2,0,0,"Transit",2014,"Kepler",22.25094900,2.460,,,,
"Kepler-399 b","Kepler-399",1,3,0,0,"Transit",2014,"Kepler",14.42528100,0.960,,,,740.5370000
"HD 219415 b","HD 219415",1,1,0,0,"Radial Velocity",2012,"McDonald Observatory",2093.30000000,,,,,165.1840000
"Pr0201 b","Pr0201",1,1,0,0,"Radial Velocity",2012,"Fred Lawrence Whipple Observatory",4.42640000,,,,,180.6400000
"HD 207832 b","HD 207832",3,2,0,0,"Radial Velocity",2012,"W. M. Keck Observatory",161.97000000,,,,,58.9291000
"HD 207832 c","HD 207832",3,2,0,0,"Radial Velocity",2012,"W. M. Keck Observatory",1155.70000000,,,,,58.9291000
"HD 145457 b","HD 145457",1,1,0,0,"Radial Velocity",2010,"Subaru Telescope",176.30000000,,,,,135.2920000
"HD 180314 b","HD 180314",1,1,0,0,"Radial Velocity",2010,"Subaru Telescope",396.03000000,,,,,122.3620000
"WASP-176 b","WASP-176",1,1,0,0,"Transit",2020,"SuperWASP-North",3.89905200,16.870,271.74465,0.31000,4.810,568.4200000
"kap CrB b","kap CrB",1,1,0,0,"Radial Velocity",2007,"Lick Observatory",1261.94000000,,,,,30.0651000
"HD 210702 b","HD 210702",1,1,0,0,"Radial Velocity",2007,"Lick Observatory",354.29000000,,,,,54.1963000
"6 Lyn b","6 Lyn",1,1,0,0,"Radial Velocity",2008,"Okayama Astrophysical Observatory",874.77400000,,,,,54.6599000
"kap CrB b","kap CrB",1,1,0,0,"Radial Velocity",2007,"Lick Observatory",1208.00000000,,,,2.500,30.0651000
"HD 167042 b","HD 167042",1,1,0,0,"Radial Velocity",2007,"Lick Observatory",412.60000000,,,,2.200,49.6633000
"eps Tau b","eps Tau",1,1,0,0,"Radial Velocity",2006,"Okayama Astrophysical Observatory",594.90000000,,,,,47.5285200
"nu Oph b","nu Oph",1,2,0,0,"Radial Velocity",2012,"Okayama Astrophysical Observatory",530.32000000,,,,,46.2107000
"75 Cet b","75 Cet",2,2,0,0,"Radial Velocity",2012,"Okayama Astrophysical Observatory",691.90000000,,,,,82.9613000
"omi UMa b","omi UMa",2,1,0,0,"Radial Velocity",2012,"Okayama Astrophysical Observatory",1630.00000000,,,,,54.9149000
"WASP-62 b","WASP-62",1,1,0,0,"Transit",2012,"SuperWASP",4.41193858,,,,,175.6310000
"TOI-201 b","TOI-201",1,1,0,0,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",52.97818000,11.299,133.48860,,0.870,113.8250000
"HD 4732 b","HD 4732",2,2,0,0,"Radial Velocity",2012,"Multiple Observatories",360.20000000,,,,,54.7841000
"55 Cnc c","55 Cnc",2,5,0,0,"Radial Velocity",2004,"McDonald Observatory",44.38000000,,,,,12.5855000
"HD 99492 b","HD 99492",2,2,0,0,"Radial Velocity",2004,"W. M. Keck Observatory",17.04310000,,,,,18.2038000
"TOI-2141 b","TOI-2141",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",18.26159372,3.167,,,,77.6820000
"TOI-908 b","TOI-908",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.18379610,3.090,,,,175.7480000
"TOI-4184 b","TOI-4184",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.90198040,2.430,,,6.700,69.3649000
